VehicleID,TotalCO2Emissions,TotalMaxWaitingTime
0,1648942.46973431,61.0
1,170070.91936095565,0.0
2,932225.8831250996,17.0
3,1106019.5477734986,28.0
4,718231.4966979707,30.0
5,881627.5465949607,31.0
6,599960.8797558878,5.0
7,817485.0089778032,26.0
8,1913419.1180620496,70.0
9,759770.7007237064,19.0
10,806799.748522939,13.0
11,513319.02520500007,3.0
12,1067139.7744232093,19.0
13,541725.5766133799,17.0
14,408788.46974203957,0.0
15,552289.6188155727,2.0
16,1484722.2998632297,39.0
17,573230.272550676,2.0
18,840158.5208634867,34.0
19,903834.6049552921,34.0
20,907348.0435995162,9.0
21,922037.9546926942,34.0
23,537320.560625321,0.0
24,711718.4889785986,29.0
25,455641.0900912826,11.0
27,609163.8855372431,21.0
28,409941.4217206675,0.0
29,929219.0889002309,45.0
30,465522.9979866749,3.0
31,1240124.24732171,45.0
32,634447.0065237263,1.0
33,563206.9993364289,0.0
34,837764.7184245152,28.0
35,622853.7037300345,6.0
36,1799731.0535529682,89.0
37,352637.5988841845,0.0
39,176785.78279636748,0.0
40,404031.7793680213,0.0
41,1409462.89361255,60.0
42,1277857.5870997733,53.0
43,441011.41094820586,0.0
44,386291.26540099137,0.0
45,364153.9799346691,0.0
47,263234.5506468984,0.0
48,332808.93843340426,0.0
49,450564.32484962174,0.0
50,1645167.6248741972,62.0
52,1220758.6934394562,49.0
51,234059.06146748114,0.0
54,1720613.6734837692,79.0
55,1845222.436685192,79.0
56,768956.9876821287,28.0
57,1090866.2821904689,48.0
58,1124183.433969358,35.0
59,666616.0322856794,12.0
60,418825.7169181548,0.0
61,375240.1293893804,0.0
63,446045.9761180623,1.0
64,942403.7129281779,29.0
66,699647.8688001627,24.0
68,339427.3733168282,0.0
69,943227.2775419175,22.0
70,813245.4297875129,26.0
71,1951286.277084226,101.0
72,1859970.220431468,106.0
73,1290228.590141182,52.0
74,1148993.4920693564,42.0
75,329794.9737332593,0.0
76,1819674.2495978468,95.0
77,319145.28836390807,0.0
78,679107.6703587305,10.0
79,899785.8992127927,29.0
80,509201.6714806611,12.0
81,1214477.0603808635,50.0
82,1625965.53010141,69.0
83,1683730.0438002166,64.0
84,1872475.2874056052,76.0
85,1173405.5895740092,36.0
86,974271.0506205851,30.0
87,1628837.3606012587,57.0
89,1229175.4703909098,63.0
90,1469191.5354840984,51.0
91,374106.5486380042,0.0
92,432404.6578628265,22.0
93,2070041.4262011368,113.0
94,2022301.3469583986,90.0
95,522168.5656087581,14.0
97,734612.2631276831,25.0
98,969836.1798099289,24.0
99,1570429.183452565,70.0
100,1345096.5237180667,68.0
101,1429294.4835564527,75.0
102,1615748.904191576,68.0
104,571252.0123312239,11.0
105,1101532.937171395,29.0
106,810837.4754489863,18.0
107,1044482.9523734363,20.0
108,866593.8818464633,12.0
109,1022456.4704822899,25.0
110,363967.37165033136,0.0
111,1570731.1147458346,71.0
113,817398.1385658857,23.0
112,1315888.1008679364,44.0
114,830469.8379896656,26.0
115,1400965.350943502,60.0
116,753344.6129477853,17.0
117,1569399.9187599914,53.0
119,1163642.5234373452,52.0
120,1166988.9312904119,57.0
121,1330985.7711241303,30.0
122,1985234.18415811,85.0
123,940874.4653880434,56.0
124,1809782.620771766,76.0
125,1040546.8267376778,29.0
127,1297960.375668499,39.0
130,981032.1332267611,43.0
131,363133.1672826229,0.0
132,871385.7575192753,26.0
133,936266.5362618264,31.0
134,1631058.3945993755,64.0
135,609910.2242737046,0.0
137,547509.2608656918,11.0
138,349158.1184532394,0.0
139,1313662.3086866462,56.0
140,605488.6889969928,17.0
141,1436987.5965353777,52.0
142,1100575.1242860698,17.0
143,1676060.168803009,76.0
144,588897.3844440212,18.0
145,1566486.5342436966,52.0
146,1682432.4388481001,73.0
147,602780.0726430124,0.0
148,571844.1295872614,15.0
149,1392411.5466986238,33.0
150,1211901.7789055158,48.0
151,876129.5571906507,26.0
152,1005462.5094733594,54.0
153,1645031.530874942,68.0
