id,linkName,inflow,outflow,spawns,despawns,maxQueueLength,junctionId,junctionName,orientation,greenTime,
0,-E0,0.013716697,0,0,0.013716697,12.70666667,,,,,
1,-E1,0.04194144,0.044579267,0.013452915,0.010815088,11.74666667,0,J1,1,30,
2,-E10,0.061197573,0.068055922,0.018728568,0.011870219,11.74666667,1,J2,0,40,
3,-E11,0,0.016354524,0.016354524,0,12.70666667,3,J6,0,23,
4,-E2,0,0.015826959,0.015826959,0,12.70666667,1,J2,1,20,
5,-E3,0.013452915,0,0,0.013452915,12.70666667,,,,,
6,-E4,0.061461356,0.068319705,0.019783698,0.01292535,11.74666667,2,J5,1,25,
7,-E5,0,0.020575046,0.020575046,0,12.70666667,3,J6,1,43,
8,-E6,0.016090741,0,0,0.016090741,12.70666667,,,,,
9,-E7,0.081245054,0.083619098,0.017409654,0.015035611,11.74666667,0,J1,0,15,
10,-E8,0,0.038248483,0.038248483,0,12.70666667,2,J5,0,10,
11,-E9,0.011606436,0,0,0.011606436,12.70666667,,,,,
12,E0,0,0.016354524,0.016354524,0,12.70666667,0,J1,1,30,
13,E1,0.086520707,0.096544447,0.019783698,0.009759958,11.74666667,1,J2,1,20,
14,E10,0.064099182,0.063044052,0.01398048,0.015035611,11.74666667,3,J6,0,23,
15,E11,0.01899235,0,0,0.01899235,12.70666667,,,,,
16,E2,0.083091533,0,0,0.083091533,12.70666667,,,,,
17,E3,0,0.012397784,0.012397784,0,12.70666667,2,J5,1,25,
18,E4,0.056713268,0.057240834,0.010815088,0.010287523,11.74666667,3,J6,1,43,
19,E5,0.015563176,0,0,0.015563176,12.70666667,,,,,
20,E6,0,0.020047481,0.020047481,0,12.70666667,0,J1,0,15,
21,E7,0.048272224,0.048799789,0.011870219,0.011342654,11.74666667,2,J5,0,10,
22,E8,0.016354524,0,0,0.016354524,12.70666667,,,,,
23,E9,0,0.020311264,0.020311264,0,12.70666667,1,J2,0,40,
